City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Guerrero Negro,MX,54.1,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
7,Beyneu,KZ,40.42,overcast clouds,45.3167,55.2,NUR
8,Bluff,NZ,48.79,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
9,Hit,IQ,56.1,scattered clouds,33.6416,42.8251,صالون زيرو
10,Rusera,IN,56.64,overcast clouds,25.75,86.0333,Santosh Hotel&Santosh resturent
12,Los Llanos De Aridane,ES,67.12,few clouds,28.6585,-17.9182,Valle Aridane
18,Half Moon Bay,US,52.61,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
19,Hobart,AU,59.25,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
21,Kapaa,US,66.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
23,Cabo San Lucas,MX,68.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
26,Mataura,NZ,48.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
35,Fortuna,US,43.99,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
42,Port Elizabeth,ZA,69.1,light rain,-33.918,25.5701,39 On Nile Guest House
48,Gawler,AU,67.48,overcast clouds,-34.6,138.7333,Eagle Foundry Bed & Breakfast
51,Ushuaia,AR,51.42,clear sky,-54.8,-68.3,Albatross Hotel
58,Nouadhibou,MR,68.86,clear sky,20.931,-17.0347,El Medina
63,Port Alfred,ZA,68.63,light rain,-33.5906,26.891,The Halyards Hotel
66,Marawi,PH,66.65,overcast clouds,7.9986,124.2928,Derogongan Residence
68,Alice Springs,AU,60.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
69,New Norfolk,AU,58.91,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
70,Ribeira Grande,PT,63.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
78,Panorama,GR,44.13,clear sky,40.5878,23.0315,Panorama Hotel
79,Punta Arenas,CL,50.11,clear sky,-53.15,-70.9167,Hotel Hain
85,Ridgecrest,US,43.65,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
94,Katsuura,JP,46.42,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
95,Penzance,GB,49.21,few clouds,50.1186,-5.5371,Artist Residence Penzance
98,East London,ZA,65.34,light rain,-33.0153,27.9116,Tu Casa
99,Coihaique,CL,66.81,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
111,Victoria,HK,57.33,clear sky,22.2855,114.1577,Mini Hotel Central
113,Ketchikan,US,45.07,moderate rain,55.3422,-131.6461,Snow's Cove Lodge
115,Port Lincoln,AU,63.32,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
119,Challans,FR,50.92,overcast clouds,46.8436,-1.8749,Citotel Le Challans
120,Saurimo,AO,69.33,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
123,Wahiawa,US,65.46,clear sky,21.5028,-158.0236,Aloha Wahiawa
131,Praia Da Vitoria,PT,59.76,broken clouds,38.7333,-27.0667,Hotel Branco I
132,Castro,BR,66.83,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
149,Lebu,CL,64.76,few clouds,-37.6167,-73.65,Hostal Las Lilas
151,Kibre Mengist,ET,68.99,overcast clouds,5.8833,38.9833,kal beauty salone adola
152,Kalaleh,IR,67.6,clear sky,37.3807,55.4916,عطر و ادکلن پارسیس
153,Quetta,PK,43.77,clear sky,30.199,67.0097,Hotel Deluxe
156,Broken Hill,AU,65.91,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
159,Brigantine,US,55.04,moderate rain,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
160,Viedma,AR,66.72,overcast clouds,-40.8135,-62.9967,Hotel Cristal
161,Lilongwe,MW,68.88,light rain,-13.9669,33.7873,Spendwise furnished apartments.
172,Kaitangata,NZ,52.93,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
182,Rawson,AR,64.69,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
186,San Carlos De Bariloche,AR,65.95,broken clouds,-41.1456,-71.3082,Hotel Patagonia
192,Tuatapere,NZ,48.81,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
203,Luau,AO,65.68,moderate rain,-10.7073,22.2247,Casa- Bernardo Cândido
207,Sitka,US,42.69,light rain,57.0531,-135.33,Westmark Sitka
217,Pau,FR,55.44,broken clouds,43.4167,-0.5833,Le Kitch
219,Hilo,US,67.24,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
221,Northam,GB,46.9,scattered clouds,51.0333,-4.2167,Durrant House Hotel
222,Waipawa,NZ,56.03,moderate rain,-41.4122,175.5153,Tora Coastal Walk
223,Port Townsend,US,45.0,overcast clouds,48.117,-122.7605,Aladdin Inn
229,Lata,PT,59.72,overcast clouds,40.1629,-8.3327,Casa Maquia
240,Sakakah,SA,56.77,scattered clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
241,Alexander City,US,45.54,overcast clouds,32.944,-85.9539,Hampton Inn Alexander City
245,Charlestown,AU,69.73,scattered clouds,-32.95,151.6667,Panorama Motor Inn Hotel
247,Lasa,IT,45.48,clear sky,46.6166,10.7002,Pension Feldgärtenhof
252,Sahuaripa,MX,55.29,clear sky,29.05,-109.2333,Estatua de Sahuaripa
262,Constitucion,CL,68.92,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
263,Humen,CN,55.9,scattered clouds,22.819,113.6731,豪门大饭店
275,Jalu,LY,57.07,clear sky,29.0331,21.5482,صاحبة الفخامة
285,Tura,IN,53.44,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
288,Pathein,MM,69.98,scattered clouds,16.7833,94.7333,Pathein Hotel
290,Camacha,PT,68.54,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
295,Ancud,CL,66.22,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
296,Honolulu,US,68.56,clear sky,21.3069,-157.8583,Aston at the Executive Centre Hotel
306,Faya,SA,60.91,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
316,Makueni,KE,69.75,overcast clouds,-1.8041,37.6203,WOTE TECHNICAL HOSTELS
317,Kadoma,JP,40.98,clear sky,34.7333,135.5833,Hotel Agora Osaka Moriguchi
318,Malanje,AO,67.57,light rain,-9.5402,16.341,Hotel Ginga
