City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Guerrero Negro,MX,27.9769,-114.0611,54.1,35,0,0.72,clear sky
1,Vostok,RU,46.4856,135.8833,-12.28,100,100,3.51,overcast clouds
2,Bubaque,GW,11.2833,-15.8333,79.43,56,0,10.13,clear sky
3,Hermanus,ZA,-34.4187,19.2345,76.89,53,7,23.02,clear sky
4,Barrow,US,71.2906,-156.7887,-29.18,68,0,6.91,clear sky
5,Nikolskoye,RU,59.7035,30.7861,19.29,96,82,6.89,broken clouds
6,Kodiak,US,57.79,-152.4072,33.31,80,0,5.75,clear sky
7,Beyneu,KZ,45.3167,55.2,40.42,73,100,19.17,overcast clouds
8,Bluff,NZ,-46.6,168.3333,48.79,66,66,10.8,broken clouds
9,Hit,IQ,33.6416,42.8251,56.1,56,42,10.0,scattered clouds
10,Rusera,IN,25.75,86.0333,56.64,91,100,6.8,overcast clouds
11,Ruzomberok,SK,49.0748,19.3075,38.16,98,98,3.87,overcast clouds
12,Los Llanos De Aridane,ES,28.6585,-17.9182,67.12,66,20,5.99,few clouds
13,Rikitea,PF,-23.1203,-134.9692,77.97,72,97,11.07,light rain
14,Vaini,TO,-21.2,-175.2,79.84,84,100,20.33,light rain
15,Shubarshi,KZ,48.5872,57.1869,27.07,83,100,17.92,overcast clouds
16,Honiara,SB,-9.4333,159.95,77.85,87,100,2.53,overcast clouds
17,Tomari,RU,47.7658,142.0683,17.11,82,100,20.02,overcast clouds
18,Half Moon Bay,US,37.4636,-122.4286,52.61,88,0,0.0,clear sky
19,Hobart,AU,-42.8794,147.3294,59.25,83,100,5.75,overcast clouds
20,Busselton,AU,-33.65,115.3333,72.09,73,0,6.46,clear sky
21,Kapaa,US,22.0752,-159.319,66.18,94,0,5.75,clear sky
22,Okha,RU,53.5739,142.9478,3.88,94,100,19.35,light snow
23,Cabo San Lucas,MX,22.8909,-109.9124,68.5,54,0,0.0,clear sky
24,Manggar,ID,-2.8833,108.2667,79.47,83,67,7.45,broken clouds
25,Araouane,ML,18.9048,-3.5265,82.06,7,0,9.22,clear sky
26,Mataura,NZ,-46.1927,168.8643,48.47,99,100,1.83,overcast clouds
27,Nanortalik,GL,60.1432,-45.2371,11.43,83,100,41.0,light snow
28,Haines Junction,CA,60.7522,-137.5108,-0.45,78,100,1.14,overcast clouds
29,Hithadhoo,MV,-0.6,73.0833,82.31,73,40,11.65,scattered clouds
30,Ostrovnoy,RU,68.0531,39.5131,3.6,97,85,9.75,overcast clouds
31,Upernavik,GL,72.7868,-56.1549,4.84,96,100,4.16,overcast clouds
32,Puerto Ayora,EC,-0.7393,-90.3518,78.76,88,33,1.99,scattered clouds
33,Albany,US,42.6001,-73.9662,28.09,85,100,1.99,light snow
34,Ardakan,IR,32.31,54.0175,70.18,31,63,11.48,broken clouds
35,Fortuna,US,40.5982,-124.1573,43.99,93,100,1.01,overcast clouds
36,Carnarvon,AU,-24.8667,113.6333,82.47,61,9,12.66,clear sky
37,Port-Gentil,GA,-0.7193,8.7815,84.16,74,20,9.22,few clouds
38,Bengkulu,ID,-3.8004,102.2655,73.89,97,100,7.27,overcast clouds
39,Tombouctou,ML,20.0,-3.0,80.51,5,0,9.98,clear sky
40,Marzuq,YE,14.4,46.4667,68.7,38,22,7.4,few clouds
